,Unidad,noIdentificacion,Descripción,Valor Unitario
,pz,CG138           ,REDUCCION CAMPANA 1 1/4 X 1             ,0
,pz,CG139           ,REDUCCION CAMPANA 1 1/2 X 1/2           ,0
,pz,CG14            ,CODO GALVANIZADO 11/4X45                ,0
,pz,CG140           ,REDUCCION CAMPANA 1 1/2 X 3/4           ,0
,pz,CG141           ,REDUCCION CAMPANA 1 1/2 X 1             ,0
,pz,CG142           ,REDUCCION CAMPANA 1 1/2 X 1 1/4         ,0
,pz,CG143           ,REDUCCION CAMPANA 2 X 1/2               ,0
,pz,CG144           ,REDUCCION CAMPANA 2 X 3/4               ,0
,pz,CG145           ,REDUCCION CAMPANA 2 X 1                 ,0
,pz,CG146           ,REDUCCION CAMPANA 2 X 1 1/4             ,0
,pz,CG147           ,REDUCCION CAMPANA 2 X 1 1/2             ,0
,pz,CG148           ,REDUCCION CAMPANA 2 1/2 X 1/2           ,0
,pz,CG149           ,REDUCCION CAMPANA 2 1/2 X 3/4           ,0
,pz,CG15            ,CODO GALVANIZADO 11/2X45                ,0
,pz,CG150           ,REDUCCION CAMPANA 2 1/2 X 1             ,0
,pz,CG151           ,REDUCCION CAMPANA 2 1/2 X 1 1/4         ,0
,pz,CG152           ,REDUCCION CAMPANA 2 1/2 X 1 1/2         ,0
,pz,CG153           ,REDUCCION CAMPANA 2 1/2 X 2             ,0
,pz,CG154           ,REDUCCION CAMPANA 3 X 1/2               ,0
,pz,CG155           ,REDUCCION CAMPANA 3 X 3/4               ,0
,pz,CG156           ,REDUCCION CAMPANA 3 X 1                 ,0
,pz,CG157           ,REDUCCION CAMPANA 3 X 1 1/4             ,0
,pz,CG158           ,REDUCCION CAMPANA 3 X 1 1/2             ,0
,pz,CG159           ,REDUCCION CAMPANA 3 X 2                 ,0
,pz,CG16            ,CODO GALVANIZADO 2X45                   ,0
,pz,CG160           ,REDUCCION CAMPANA 3 X 2 1/2             ,0
,pz,CG161           ,REDUCCION CAMPANA 4 X 3/4               ,0
,pz,CG162           ,REDUCCION CAMPANA 4 X 1                 ,0
,pz,CG163           ,REDUCCION CAMPANA 4 X 1 1/2             ,0
,pz,CG164           ,REDUCCION CAMPANA 4 X 2                 ,0
,pz,CG165           ,REDUCCION CAMPANA 4 X 2 1/2             ,0
,pz,CG17            ,CODO GALVANIZADO 21/2X45                ,0
,pz,CG18            ,CODO GALVANIZADO 3X45                   ,0
,pz,CG19            ,CODO GALVANIZADO 4X45                   ,0
,pz,CG20            ,CODO GALVANIZADO 6X45                   ,0
,pz,CG21            ,CODO GALVANIZADO 1/2X90                 ,0
,pz,CG22            ,CODO GALVANIZADO 3/4X90                 ,0
,pz,CG23            ,CODO GALVANIZADO 1X90                   ,0
,pz,CG24            ,CODO GALVANIZADO 11/4X90                ,0
,pz,CG25            ,CODO GALVANIZADO 11/2X90                ,0
,pz,CG26            ,CODO GALVANIZADO 2X90                   ,0
,pz,CG27            ,CODO GALVANIZADO 21/2X90                ,0
,pz,CG28            ,CODO GALVANIZADO 3X90                   ,0
,pz,CG29            ,CODO GALVANIZADO 4X90                   ,0
,pz,CG30            ,CODO GALVANIZADO 6X90                   ,0
,pz,CG31            ,TEE GALVANIZADA 1/2                     ,0
,pz,CG32            ,TEE GALVANIZADA 3/4                     ,0
,pz,CG33            ,TEE GALVANIZADA 1                       ,0
,pz,CG34            ,TEE GALVANIZADA 11/4                    ,0
,pz,CG35            ,TEE GALVANIZADA 11/2                    ,0
,pz,CG36            ,TEE GALVANIZADA 2                       ,0
,pz,CG37            ,TEE GALVANIZADA 21/2                    ,0
,pz,CG38            ,TEE GALVANIZADA 3                       ,0
,pz,CG39            ,TEE GALVANIZADA 4                       ,0
,pz,CG40            ,TEE GALVANIZADA 6                       ,0
,pz,CG41            ,TAPON HEMBRA GALVANIZADO 3/8            ,0
,pz,CG42            ,TAPON HEMBRA GALVANIZADO 1/2            ,0
,pz,CG43            ,TAPON HEMBRA GALVANIZADO 3/4            ,0
,pz,CG44            ,TAPON HEMBRA GALVANIZADO 1              ,0
,pz,CG45            ,TAPON HEMBRA GALVANIZADO 1 1/4          ,0
,pz,CG46            ,TAPON HEMBRA GALVANIZADO 1 1/2          ,0
,pz,CG47            ,TAPON HEMBRA GALVANIZADO 2              ,0
,pz,CG48            ,TAPON HEMBRA GALVANIZADO 2 1/2          ,0
,pz,CG49            ,TAPON HEMBRA GALVANIZADO 3              ,0
,pz,CG50            ,TAPON HEMBRA GALVANIZADO 4              ,0
,pz,CG51            ,TAPON HEMBRA GALVANIZADO 6              ,0
,pz,CG52            ,TAPON MACHO GALVANIZADO 1/4             ,0
,pz,CG53            ,TAPON MACHO GALVANIZADO 3/8             ,0
,pz,CG54            ,TAPON MACHO GALVANIZADO 1/2             ,0
,pz,CG55            ,TAPON MACHO GALVANIZADO 1               ,0
,pz,CG56            ,TAPON MACHO GALVANIZADO 1 1/4           ,0
,pz,CG57            ,TAPON MACHO GALVANIZADO 1 1/2           ,0
,pz,CG58            ,TAPON MACHO GALVANIZADO 2               ,0
,pz,CG59            ,TAPON MACHO GALVANIZADO 2 1/2           ,0
,pz,CG60            ,TAPON MACHO GALVANIZADO 3               ,0
,pz,CG61            ,TAPON MACHO GALVANIZADO 4               ,0
,pz,CG62            ,TAPON MACHO GALVANIZADO 6               ,0
,pz,CG63            ,CRUZ GALVANIZADA 3/8                    ,0
,pz,CG64            ,CRUZ GALVANIZADA 1/2                    ,0
,pz,CG65            ,CRUZ GALVANIZADA 3/4                    ,0
,pz,CG66            ,CRUZ GALVANIZADA 1                      ,0
,pz,CG67            ,CRUZ GALVANIZADA 1 1/4                  ,0
,pz,CG68            ,CRUZ GALVANIZADA 1 1/2                  ,0
,pz,CG69            ,CRUZ GALVANIZADA 2                      ,0
,pz,CG70            ,CRUZ GALVANIZADA 2 1/2                  ,0
,pz,CG71            ,CRUZ GALVANIZADA 3                      ,0
,pz,CG72            ,CRUZ GALVANIZADA 4                      ,0
,pz,CG73            ,TUERCA UNION 3/8                        ,0
,pz,CG74            ,TUERCA UNION 1/2                        ,0
,pz,CG75            ,TUERCA UNION 3/4                        ,0
,pz,CG76            ,TUERCA UNION 1                          ,0
,pz,CG77            ,TUERCA UNION 1 1/4                      ,0
,pz,CG78            ,TUERCA UNION 1 1/2                      ,0
,pz,CG79            ,TUERCA UNION 2                          ,0
,pz,CG80            ,TUERCA UNION 2 1/2                      ,0
,pz,CG81            ,TUERCA UNION 4                          ,0
,pz,CG82            ,REDUCCION BUSHING 3/8 X 1/4             ,0
,pz,CG83            ,REDUCCION BUSHING 1/2 X 1/4             ,0
,pz,CG84            ,REDUCCION BUSHING 1/2 X 3/8             ,0
,pz,CG85            ,REDUCCION BUSHING 3/4 X 1/2             ,0
,pz,CG86            ,REDUCCION BUSHING 1 X 1/4               ,0
,pz,CG87            ,REDUCCION BUSHING 1 X 1/2               ,0
,pz,CG88            ,REDUCCION BUSHING 1 X 1/2               ,0
,pz,CG89            ,REDUCCION BUSHING 1 X 3/4               ,0
,pz,CG90            ,REDUCCION BUSHING 1 1/4 X 1/2           ,0
,pz,CG91            ,REDUCCION BUSHING 1 1/4 X 3/4           ,0
,pz,CG92            ,REDUCCION BUSHING 1 1/4 X 1             ,0
,pz,CG93            ,REDUCCION BUSHING1 1/2 X 1/2            ,0
,pz,CG94            ,REDUCCION BUSHING 1 1/2 X 3/4           ,0
,pz,CG95            ,REDUCCION BUSHING 1 1/2 X 1             ,0
,pz,CG96            ,REDUCCION BUSHING 1 1/2 X 1 1/4         ,0
,pz,CG97            ,REDUCCION BUSHING 2 X 1/2               ,0
,pz,CG98            ,REDUCCION BUSHING 2 X 3/4               ,0
,pz,CG99            ,REDUCCION BUSHING 2 X 1                 ,0
,pz,COB01           ,TUBO DE COBRE DE 1/4 TIPO M TRAMO 6.10  ,0
,pz,COB02           ,"TUBO DE COBRE DE 3/8"" TIPO M TRAMO 6.10 ",0
,pz,COB03           ,"TUBO DE COBRE DE 1/2"" TIPO M TRAMO 6.10 ",0
,pz,COB04           ,"TUBO DE COBRE DE 3/4"" TIPO M TRAMO 6.10 ",0
,pz,COB05           ,"TUBO DE COBRE DE 1"" TIPO M TRAMO 6.10   ",0
,pz,COB06           ,"TUBO DE COBRE DE 11/4"" TIPO M TRAMO 6.10",0
,pz,COB07           ,"TUBO DE COBRE DE 11/2"" TIPO M TRAMO 6.10",0
,pz,COB08           ,"TUBO DE COBRE DE 2"" TIPO M TRAMO 6.10   ",0
,pz,COB09           ,"TUBO DE COBRE DE 21/2"" TIPO M TRAMO 6.10",0
,pz,COB10           ,"TUBO DE COBRE DE 3"" TIPO M TRAMO 6.10   ",0
,pz,COB100          ,"REDUCCION CAMP. DE COBRE 2 A 1""         ",0
,pz,COB101          ,"REDUCCION CAMP.DE COBRE 2 A 11/4""       ",0
,pz,COB102          ,"REDUCCION CAMP.DE COBRE 2 A 11/2""       ",0
,pz,COB103          ,"REDUCCION CAMP.DE COBRE 21/2 A 1""       ",0
,pz,COB104          ,"REDUCCION CAMP.DE COBRE 21/2 A 11/4""    ",0
,pz,COB105          ,"REDUCCION CAMP.DE COBRE 21/2 A 11/2""    ",0
,pz,COB106          ,"REDUCCION CAMP.DE COBRE 21/2 A 2""       ",0
,pz,COB107          ,"REDUCCION CAMP.DE COBRE 3 A 11/4""       ",0
,pz,COB108          ,"REDUCCION CAMP.DE COBRE 3 A 11/2""       ",0
,pz,COB109          ,"REDUCCION CAMP.DE COBRE 3 A 2""          ",0
,pz,COB11           ,"TUBO DE COBRE DE 4"" TIPO M TRAMO 6.10   ",0
,pz,COB110          ,"REDUCCION CAMP.DE COBRE 3 A 21/2""       ",0
,pz,COB111          ,"REDUCCION CAMP. DE COBRE 4 A 11/4""      ",0
,pz,COB112          ,"REDUCCION CAMP.DE COBRE 4 A 11/2""       ",0
,pz,COB113          ,"REDUCCION CAMP. DE COBRE 4 A 2""         ",0
,pz,COB114          ,"REDUCCION CAMP. DE COBRE 4 A 2 1/2""     ",0
,pz,COB115          ,"REDUCCION CAMP. DE COBRE 4 A 3""         ",0
,pz,COB116          ,"REDUCCION BUSH. DE COBRE 1/2 A 3/8""     ",0
,pz,COB117          ,"REDUCCION BUSH. DE COBRE 3/4 A 1/2""     ",0
,pz,COB118          ,"REDUCCION BUSH. DE COBRE 1"" A 1/2""      ",0
,pz,COB119          ,"REDUCCION BUSH. DE COBRE 1"" A 3/4""      ",0
,pz,COB12           ,"TUBO DE COBRE DE 1/4"" TIPO M X MT       ",0
,pz,COB120          ,"REDUCCION BUSH. DE COBRE 11/4"" A 1/2""   ",0
,pz,COB121          ,"REDUCCION BUSH.DE COBRE 11/4"" A 3/4""    ",0
,pz,COB122          ,"REDUCCION BUSH. DE COBRE 11/4"" A 1""     ",0
,pz,COB123          ,"REDUCCION BUSH. DE COBRE 11/2"" A 1/2""   ",0
,pz,COB124          ,"REDUCCION BUSH. DE COBRE 11/2"" A 3/4""   ",0
,pz,COB125          ,"REDUCCION BUSH. DE COBRE 11/2"" A 1""     ",0
,pz,COB126          ,"REDUCCION BUSH. DE COBRE 11/2"" A 11/4""  ",0
,pz,COB127          ,"REDUCCION BUSH. DE COBRE 2"" A 1/2""      ",0
,pz,COB128          ,"REDUCCION BUSH. DE COBRE 2"" A 3/4""      ",0
,pz,COB129          ,"REDUCCION BUSH. DE COBRE 2"" A 1""        ",0
,pz,COB13           ,"TUBO DE COBRE DE 3/8"" TIPO M X MT       ",0
,pz,COB130          ,"REDUCCION BUSH. DE COBRE 2"" A 11/4""     ",0
,pz,COB131          ,"REDUCCION BUSH. DE COBRE 2"" A 11/2""     ",0
,pz,COB132          ,"REDUCCION BUSH.DE COBRE 21/2"" A 1""      ",0
,pz,COB133          ,"REDUCCION BUSH. DE COBRE 21/2"" A 11/4""  ",0
,pz,COB134          ,"REDUCCION BUSH. DE COBRE 21/2"" A 11/2""  ",0
