,Unidad,noIdentificacion,Descripción,Valor Unitario
,pz,COB25           ,"TUBO DE COBRE DE 1/2"" TIPO L TRAMO 6.10 ",0
,pz,COB250          ,"YEE DE COBRE 1/2"" CAT.115               ",0
,pz,COB251          ,"YEE  DE COBRE 3/4""  CAT. 115            ",0
,pz,COB252          ,"YEE  DE COBRE 1"" CAT.115                ",0
,pz,COB253          ,"YEE DE COBRE 11/4""   CAT. 115           ",0
,pz,COB254          ,"YEE DE COBRE 11/2"" CAT. 115             ",0
,pz,COB255          ,"YEE DE COBRE 2"" CAT. 115                ",0
,pz,COB256          ,"CONECTOR DE COBRE R/ INTERIOR 3/8""      ",0
,pz,COB257          ,"CONECTOR DE COBRE R/ INTERIOR 1/2""      ",0
,pz,COB258          ,"CONECTOR DE COBRE R/ INTERIOR 3/4""      ",0
,pz,COB259          ,"CONECTOR DE COBRE R/ INTERIOR 1""        ",0
,pz,COB26           ,"TUBO DE COBRE DE 3/4"" TIPO L TRAMO 6.10 ",0
,pz,COB260          ,"CONECTOR DE COBRE R/INTERIOR 11/4""      ",0
,pz,COB261          ,CONECTOR DE COBRE R/ INTERIOR 11/2      ,0
,pz,COB262          ,"CONECTOR DE COBRE R/INTERIOR 2""         ",0
,pz,COB263          ,"CONECTOR DE COBRE R/ INTERIOR 21/2""     ",0
,pz,COB264          ,"CONECTOR DE COBRE R/INTERIOR 3""         ",0
,pz,COB265          ,"CONECTOR DE COBRE R/ INTERIOR 4""        ",0
,pz,COB266          ,"CONECTOR DE COBRE  INT. RED. 1/2""       ",0
,pz,COB267          ,"CONECTOR DE COBRE INT.  RED. 3/4""       ",0
,pz,COB268          ,"CONECTOR DE COBRE INT.  RED.    1""      ",0
,pz,COB269          ,"CONECTOR DE COBRE R/ EXTERIOR 3/8""      ",0
,pz,COB27           ,"TUBO DE COBRE DE 1"" TIPO L TRAMO 6.10   ",0
,pz,COB270          ,"CONECTOR DE COBRE R/ EXTERIOR 1/2""      ",0
,pz,COB271          ,"CONECTOR DE COBRE R/EXTERIOR 3/4""       ",0
,pz,COB272          ,"CONECTOR DE COBRE R/ EXTERIOR 1""        ",0
,pz,COB273          ,"CONECTOR DE COBRE R/ EXTERIOR 1 1/4""    ",0
,pz,COB274          ,"CONECTOR DE COBRE R/EXTERIOR 11/2""      ",0
,pz,COB275          ,"CONECTOR DE COBRE R/ EXTERIOR 2""        ",0
,pz,COB276          ,"CONECTOR DE COBRE R/ EXTERIOR 21/2""     ",0
,pz,COB277          ,"CONECTOR DE COBRE R/ EXTERIOR 3""        ",0
,pz,COB278          ,"CONECTOR DE COBRE R/ EXTERIOR 4""        ",0
,pz,COB279          ,"CONECTOR DE COBRE EXT. RED. 1/2""        ",0
,pz,COB28           ,"TUBO DE COBRE DE 11/4"" TIPO L TRAMO 6.10",0
,pz,COB280          ,"CONECTOR DE COBRE EXT. RED. 3/4""        ",0
,pz,COB281          ,"CONECTOR DE COBRE EXT. RED. 1""          ",0
,pz,COB282          ,VALVULA GLOBO SOLDABLE 1/2 NACOBRE      ,0
,pz,COB283          ,"TEE DE COBRE DE RED.11/2-11/2-1""        ",0
,pz,COB284          ,TEE DE COBRE DE RED. 11/2-11/2-11/4     ,0
,pz,COB285          ,"TEE DE COBRE DE RED. 2""-2""-11/2""        ",0
,pz,COB286          ,"TEE DE COBRE DE RED. 2""-2""-1""           ",0
,pz,COB287          ,"TEE RED. DE COBRE 11/2"" X11/2""X1""       ",0
,pz,COB288          ,TEE DE COBRE RED. 1/2-1/2-1             ,0
,pz,COB289          ,TEE DE COBRE RED. 3/4-1/2-3/4           ,0
,pz,COB29           ,"TUBO DE COBRE DE 11/2"" TIPO L TRAMO 6.10",0
,pz,COB290          ,TEE DE COBRE RED. 1-1/2-1               ,0
,pz,COB30           ,"TUBO DE COBRE DE 2"" TIPO L TRAMO 6.1    ",0
,pz,COB31           ,"TUBO DE COBRE DE 2 1/2"" TIPO L TRAMO 6.1",0
,pz,COB32           ,"TUBO DE COBRE DE 3"" TIPO L TRAMO 6.1    ",0
,pz,COB33           ,"TUBO DE COBRE DE 4"" TIPO L TRAMO 6.1    ",0
,pz,COB34           ,"TUBO DE COBRE DE 1/4"" TIPO L  X MT      ",0
,pz,COB35           ,"TUBO DE COBRE DE 3/8"" TIPO L X MT       ",0
,pz,COB36           ,"TUBO DE COBRE DE 1/2"" TIPO L  X MT      ",0
,pz,COB37           ,"TUBO DE COBRE DE 3/4"" TIPO L  X MT      ",0
,pz,COB38           ,"TUBO DE COBRE DE 1"" TIPO L  X MT        ",0
,pz,COB39           ,"TUBO DE COBRE DE 11/4"" TIPO L  X MT     ",0
,pz,COB40           ,"TUBO DE COBRE DE 11/2"" TIPO L  X MT     ",0
,pz,COB41           ,"TUBO DE COBRE DE 2"" TIPO L  X MT        ",0
,pz,COB42           ,"TUBO DE COBRE DE 21/2"" TIPO L  X MT     ",0
,pz,COB43           ,"TUBO DE COBRE DE 3"" TIPO L  X MT        ",0
,pz,COB44           ,"TUBO DE COBRE DE 4"" TIPO L  X MT        ",0
,pz,COB45           ,TUBO DE COBRE FLEX. 1/8 EXT.U.G.RL.15.24,0
,pz,COB46           ,TUBO DE COBRE FLEX 3/16 EXT.U.G.RL.15.24,0
,pz,COB47           ,TUBO DE COBRE FLEX. 1/4 EXT.U.G.RL.15.24,0
,pz,COB48           ,TUBO DE COBRE FLEXIBLE 5/16 EXT.  U.G   ,0
,pz,COB49           ,TUBO DE COBRE FLEXIBLE 3/8 EXT.  U.G    ,0
,pz,COB50           ,TUBO DE COBRE FLEXIBLE 1/2 EXT.  U.G    ,0
,pz,COB51           ,TUBO DE COBRE FLEXIBLE 5/8 EXT.  U.G    ,0
,pz,COB52           ,TUBO DE COBRE FLEXIBLE 3/4 EXT.  U.G    ,0
,pz,COB53           ,TUBO DE COBRE FLEX. 1/8 EXT.  X MT U.G  ,0
,pz,COB54           ,TUBO DE COBRE FLEX. 3/16  EXT.  X MT U.G,0
,pz,COB55           ,TUBO DE COBRE FLEX. 1/4 EXT.  X MT U.G  ,0
,pz,COB56           ,TUBO DE COBRE FLEX. 5/16 EXT.  X MT U.G ,0
,pz,COB57           ,TUBO DE COBRE FLEX. 3/8 EXT.  X MT U.G  ,0
,pz,COB58           ,TUBO DE COBRE FLEX. 1/2 EXT.  X MT U.G  ,0
,pz,COB59           ,TUBO DE COBRE FLEX. 5/8 EXT.  X MT U.G  ,0
,pz,COB60           ,TUBO DE COBRE FLEX. 3/4 EXT.  X MT U.G  ,0
,pz,COB61           ,TUBO DE COBRE FLEX. L 3/8 EXT.1/4 INT.  ,0
,pz,COB62           ,TUBO DE COBRE FLEX. L  1/2 EXT. 3/8 INT ,0
,pz,COB63           ,TUBO DE COBRE FLEX. L 5/8 EXT. 1/2 INT. ,0
,pz,COB64           ,TUBO DE COBRE FLEX. L 7/8 EXT. 3/4 INT. ,0
,pz,COB65           ,TUBO DE COBRE FLEX. L  11/8 EXT. 1 INT. ,0
,pz,COB66           ,TUBO DE COBRE FLEX. L 3/8 EXT. 1/4 INT. ,0
,pz,COB67           ,TUBO DE COBRE FLEX. L 1/2 EXT. 3/8 INT  ,0
,pz,COB68           ,TUBO DE COBRE FLEX. L 5/8 EXT. 1/2 INT  ,0
,pz,COB69           ,TUBO DE COBRE FLEX. L 7/8 EXT. 3/4 INT  ,0
,pz,COB70           ,TUBO DE COBRE FLEX. L 11/8 EXT. 1 INT   ,0
,pz,COB71           ,"TUBO DE COBRE DE 1/2"" COBRECEL TRAMO    ",0
,pz,COB72           ,"TUBO DE COBRE DE 3/4"" COBRECEL TRAMO    ",0
,pz,COB73           ,"TUBO DE COBRE DE 1/2"" COBRECEL MT.      ",0
,pz,COB74           ,"TUBO DE COBRE DE 3/4"" COBRECEL MT.      ",0
,pz,COB75           ,"TUBO DE COBRE DE 1"" COBRECEL TRAMO      ",0
,pz,COB76           ,"TUBO DE COBRE DE 1"" COBRECEL MT         ",0
,pz,COB77           ,"COPLE DE COBRE 3/8""  NACOBRE            ",0
,pz,COB78           ,"COPLE DE COBRE 1/2""  NACOBRE            ",0
,pz,COB79           ,"COPLE DE COBRE 3/4""  NACOBRE            ",0
,pz,COB80           ,"COPLE DE COBRE 1""  NACOBRE              ",0
,pz,COB81           ,"COPLE DE COBRE 11/4""  NACOBRE           ",0
,pz,COB82           ,"COPLE DE COBRE 11/2""  NACOBRE           ",0
,pz,COB83           ,"COPLE DE COBRE 2""  NACOBRE              ",0
,pz,COB84           ,"COPLE DE COBRE 2 1/2""  NACOBRE          ",0
,pz,COB85           ,"COPLE DE COBRE 3""  NACOBRE              ",0
,pz,COB86           ,"COPLE DE COBRE 4""  NACOBRE              ",0
,pz,COB87           ,REDUCCION CAMP. DE COBRE 1/2 A 3/8      ,0
,pz,COB88           ,REDUCCION CAMP.DE COBRE 3/4 A 1/2       ,0
,pz,COB89           ,REDUCCION CAMP.DE COBRE 1 A 1/2         ,0
,pz,COB90           ,REDUCCION CAMP.DE COBRE 1 A 3/4         ,0
,pz,COB91           ,REDUCCION CAMP.DE COBRE 11/4 A 1/2      ,0
,pz,COB92           ,REDUCCION CAMP.DE COBRE 11/4 A 3/4      ,0
,pz,COB93           ,"REDUCCION CAMP.DE COBRE 11/4  A 1""      ",0
,pz,COB94           ,REDUCCION CAMP.DE COBRE 11/2 A 1/2      ,0
,pz,COB95           ,"REDUCCION CAMP. DE COBRE 11/2 A 3/4""    ",0
,pz,COB96           ,"REDUCCION CAMP.DE COBRE 11/2 A 1""       ",0
,pz,COB97           ,"REDUCCION CAMP.DE COBRE 11/2 A 11/4""    ",0
,pz,COB98           ,"REDUCCION CAMP.DE COBRE 2 A 1/2""        ",0
,pz,COB99           ,"REDUCCION CAMP.DE COBRE 2 A 3/4""        ",0
,pz,CSC01           ,"CODO SANITARIO CEMENTAR DE 11/2"" X 45   ",0
,pz,CSC02           ,"CODO SANITARIO CEMENTAR DE 2"" X 45      ",0
,pz,CSC03           ,"CODO SANITARIO CEMENTAR DE 3"" X 45      ",0
,pz,CSC04           ,"CODO SANITARIO CEMENTAR DE 4"" X 45      ",0
,pz,CSC05           ,"CODO SANITARIO CEMENTAR DE 6"" X 45      ",0
,pz,CSC06           ,"CODO SANITARIO CEMENTAR DE 8"" X 45      ",0
,pz,CSC07           ,"CODO SANITARIO CEMENTAR DE 11/2"" X 90   ",0
,pz,CSC08           ,"CODO SANITARIO CEMENTAR DE 2"" X 90      ",0
,pz,CSC09           ,"CODO SANITARIO CEMENTAR DE 3"" X 90      ",0
,pz,CSC10           ,"CODO SANITARIO CEMENTAR DE 4"" X 90      ",0
,pz,CSC11           ,"CODO SANITARIO CEMENTAR DE 6"" X 90      ",0
,pz,CSC12           ,"CODO SANITARIO CEMENTAR DE 8"" X 90      ",0
,pz,CSC13           ,"CODO PVC SANIT.CEMENT. 4"" SAL. LAT.11/2""",0
,pz,CSC14           ,"CODO PVC SANIT.CEMENT. 4"" SAL. TRAS.11/2",0
,pz,CSC15           ,"CODO PVC SANIT.CEMT.4"" SAL.TRAS-LAT.11/2",0
,pz,CSC16           ,"CODO PVC SANIT.CEMT.4"" SAL. LAT. 2""     ",0
,pz,CSC17           ,"CODO PVC SANIT.CEMT.4"" SAL.TRAS  2""     ",0
,pz,CSC18           ,"CODO PVC SANIT.CEMT.4""SAL.TRAS-LAT. 2""  ",0
,pz,CSC19           ,"COPLE PVC SANITARIO CEMENT.DE 1 1/2""    ",0
,pz,CSC20           ,"COPLE PVC SANITARIO CEMENT. DE 2""       ",0
,pz,CSC21           ,"COPLE PVC SANITARIO CEMENT. DE 3""       ",0
,pz,CSC22           ,"COPLE PVC SANITARIO CEMENT. DE 4""       ",0
,pz,CSC23           ,"COPLE PVC SANITARIO CEMENT. DE 6""       ",0
,pz,CSC24           ,"COPLE PVC SANITARIO CEMENT. DE 8""       ",0
,pz,CSC25           ,"TAPA DE INSERCION SANIT. CEMENT.1 1/2""  ",0
,pz,CSC26           ,"TAPA DE INSERCION SANIT. CEMENT. 2""     ",0
,pz,CSC27           ,"TAPA DE INSERCION SANIT. CEMENT. 3""     ",0
,pz,CSC28           ,"TAPA DE INSERCION SANIT. CEMENT. 4""     ",0
,pz,CSC29           ,"TAPA DE INSERCION SANIT. CEMENT. 6""     ",0
,pz,CSC30           ,"TAPA DE INSERCION SANIT. CEMENT. 8""     ",0
,pz,CSC31           ,"TEE PVC SANITARIO CEMENTAR DE 1 1/2""    ",0
,pz,CSC32           ,"TEE PVC SANITARIO CEMENTAR DE 2""        ",0
,pz,CSC33           ,"TEE PVC SANITARIO CEMENTAR DE 3""        ",0
,pz,CSC34           ,"TEE PVC SANITARIO CEMENTAR DE 4""        ",0
,pz,CSC35           ,"TEE PVC SANITARIO CEMENTAR DE 6""        ",0
,pz,CSC36           ,"TEE PVC SANITARIO CEMENTAR DE 8""        ",0
,pz,CSC37           ,"TEE PVC SANITARIO ECON. 4 X 1 1/2""      ",0
,pz,CSC38           ,TEE PVC SANITARIO ECON. 4 X 2           ,0
,pz,CSC39           ,"TEE PVC SANITARIO CEMENTAR 4 A 2"".      ",0
,pz,CSC40           ,"YEE PVC SANITARIO CEMENTAR DE 1 1/2""    ",0
,pz,CSC41           ,"YEE PVC SANITARIO CEMENTAR DE 2""        ",0
,pz,CSC42           ,"YEE PVC SANITARIO CEMENTAR DE 3""        ",0
,pz,CSC43           ,"YEE PVC SANITARIO CEMENTAR DE 4""        ",0
,pz,CSC44           ,"YEE PVC SANITARIO CEMENTAR DE 6""        ",0
,pz,CSC45           ,"YEE PVC SANITARIO CEMENTAR DE 8""        ",0
,pz,CSC46           ,"YEE PVC SANIT.CEMENT. DE 2"" X 1 1/2""    ",0
,pz,CSC47           ,"YEE PVC SANIT.CEMENT. DE 3"" X 2""        ",0
,pz,CSC48           ,"YEE PVC SANIT.CEMENT. DE 4"" X 1 1/2""    ",0
,pz,CSC49           ,"YEE PVC SANIT.CEMENT. DE  4"" X 2""       ",0
,pz,CSC50           ,"YEE PVC SANIT.CEMENT. DE 6"" X 4""        ",0
,pz,CSC51           ,"YEE PVC SANIT.CEMENT. DE 8"" X 4""        ",0
,pz,CSC52           ,"YEE PVC SANIT.CEMENT. DE 8"" X 6""        ",0
,pz,CSC53           ,"TEE  DOBLE PVC SANIT.CEMENT. DE 2"" X 2"" ",0
,pz,CSC54           ,"TEE DOBLE PVC SANIT.CEMENT. DE 3"" X 3""  ",0
,pz,CSC55           ,"TEE DOBLE  PVC SANIT.CEMENT. DE 4"" X 2"" ",0
,pz,CSC56           ,"TEE DOBLE PVC SANIT. CEMENT. 4"" X 4""    ",0
,pz,CSC57           ,"TEE DOBLE PVC SANIT. CEMENT. 6"" X 6""    ",0
,pz,CSC58           ,"YEE  DOBLE PVC SANIT.CEMENT. DE 2"" X 2"" ",0
,pz,CSC59           ,"YEE  DOBLE PVC SANIT.CEMENT. DE 3"" X 3"" ",0
,pz,CSC60           ,"YEE  DOBLE PVC SANIT.CEMENT. DE 4"" X 2"" ",0
,pz,CSC61           ,"YEE  DOBLE PVC SANIT.CEMENT. DE 4"" X 4"" ",0
,pz,CSC62           ,"YEE  DOBLE PVC SANIT.CEMENT. DE 6"" X 4"" ",0
,pz,CSC63           ,"YEE  DOBLE PVC SANIT.CEMENT. DE 6"" X 6"" ",0
,pz,CSC64           ,"YEE  DOBLE PVC SANIT.CEMENT. DE 8"" X 8"" ",0
,pz,CSC65           ,"REDUC. BUSH. SANIT. CEMENT. 2"" X11/2""   ",0
,pz,CSC66           ,"REDUC. BUSH. SANIT. CEMENT. 3"" X11/2    ",0
,pz,CSC67           ,"REDUC. BUSH. SANIT. CEMENT. 3"" X 2""     ",0
,pz,CSC68           ,"REDUC. BUSH. SANIT. CEMENT. 4 X 11/2""   ",0
,pz,CSC69           ,"REDUC. BUSH. SANIT. CEMENT. 4"" X 2""     ",0
,pz,CSC70           ,"REDUC. BUSH. SANIT. CEMENT. 4"" X 3""     ",0
,pz,CSC71           ,"REDUC. BUSH. SANIT. CEMENT. 6"" X 4""     ",0
,pz,CSC72           ,"REDUC. BUSH. SANIT. CEMENT. 8"" X 4""     ",0
,pz,CSC73           ,"REDUC. BUSH. SANIT. CEMENT. 8"" X 6""     ",0
,pz,CSC74           ,"CESPOL DE BOTE ECON. SAL. 1 1/2""        ",0
,pz,CSC75           ,"CESPOL DE BOTE ECON. SAL 2""             ",0
,pz,CSC76           ,"CESPOL DE BOTE ECON.  DOS SAL 1 1/ 2""   ",0
,pz,CSC77           ,"CESPOL DE BOTE ECON. DOS SAL. 2""        ",0
,pz,CSC78           ,"CESPOL DE BOTE ECON.  DOS SAL.11/2"" X 2""",0
,pz,CSC79           ,CESPOL DE BOTE ECON. CON 3 SAL.         ,0
,pz,CSC80           ,COLADERA COPSA (UNIVERSAL )             ,0
,pz,CSC81           ,"ADAPTADOR GAL BOCINA PVC SANIT.CEM.11/2""",0
,pz,CSC82           ,"ADAPTADOR GAL ESPIGA PVC SANIT.CEM.11/2""",0
,pz,CSC83           ,"ADAPTADOR GAL ESPIGA PVC SANIT.CEM.2""   ",0
,pz,CSC84           ,"ADAPTADOR GAL ESPIGA PVC SANIT.CEM. 4""  ",0
,pz,CSC85           ,CEMENTO PVC TRASP. ALTA VISC.50 GR DURMA,0
,pz,CSC86           ,CEMENTO PVC TRASP.ALTA VISC.150 ML DURMA,0
,pz,CSC87           ,CEMENTO PVC TRASP.ALTA VISC.250 ML DURMA,0
,pz,CSC88           ,CEMENTO PVC TRASP.ALTA VISC.500 ML DURMA,0
,pz,CSC89           ,CEMENTO PVC TRASP.ALTA VISC.1 LT DURMAN ,0
,pz,CSC90           ,CEMENTO PVC TRASP.ALTA VISC.4 LT.  DURMA,0
,pz,CSC91           ,LUBRICANTE PARA PVC 500 ML. DURMAN      ,0
,pz,CSC92           ,LIMPIADOR PARA PVC DURMAN 250 ML        ,0
,pz,FF01            ,"REDUCCION DE FIERRO FUNDIDO 10 ""X 6""    ",0
,pz,FF02            ,"REDUCCION DE FIERRO FUNDIDO 10 ""X 8""    ",0
,pz,FF03            ,"REDUCCION DE FIERRO FUNDIDO 12 ""X 3""    ",0
,pz,FF04            ,"REDUCCION DE FIERRO FUNDIDO 12 ""X 4""    ",0
,pz,FF05            ,"REDUCCION DE FIERRO FUNDIDO 12 ""X 6""    ",0
,pz,FF06            ,"REDUCCION DE FIERRO FUNDIDO 12 "" X 8 ""  ",0
,pz,FF07            ,"REDUCCION DE FIERRO FUNDIDO 12 "" X 8 ""  ",0
,pz,FF08            ,"REDUCCION DE FIERRO FUNDIDO 12 ""X 10""   ",0
,pz,FF09            ,"REDUCCION DE FIERRO FUNDIDO 12 ""X 12""   ",0
,pz,FF10            ,"REDUCCION DE FIERRO FUNDIDO 14 ""X 3""    ",0
,pz,FF100           ,"CRUZ DE FIERRO FUNDIDO 14"" X 3""         ",0
,pz,FF101           ,"CRUZ DE FIERRO FUNDIDO 14"" X 4""         ",0
,pz,FF102           ,"CRUZ DE FIERRO FUNDIDO 14"" X 6""         ",0
,pz,FF103           ,"CRUZ DE FIERRO FUNDIDO 14"" X 8""         ",0
,pz,FF104           ,"CRUZ DE FIERRO FUNDIDO 14"" X 10""        ",0
,pz,FF105           ,"CRUZ DE FIERRO FUNDIDO 14"" X 12""        ",0
,pz,FF106           ,"CRUZ DE FIERRO FUNDIDO 14"" X 14""        ",0
,pz,FF107           ,"CRUZ DE FIERRO FUNDIDO 16"" X 4""         ",0
,pz,FF108           ,"CRUZ DE FIERRO FUNDIDO 16"" X 6""         ",0
,pz,FF109           ,"CRUZ DE FIERRO FUNDIDO 16"" X 8""         ",0
,pz,FF11            ,"REDUCCION DE FIERRO FUNDIDO 14 ""X 4""    ",0
,pz,FF110           ,"CRUZ DE FIERRO FUNDIDO 16"" X 10""        ",0
,pz,FF111           ,"CRUZ DE FIERRO FUNDIDO 16"" X 12""        ",0
,pz,FF112           ,"CRUZ DE FIERRO FUNDIDO 16"" X 14""        ",0
,pz,FF113           ,"CRUZ DE FIERRO FUNDIDO 16"" X 16""        ",0
,pz,FF114           ,"CRUZ DE FIERRO FUNDIDO 18"" X 4""         ",0
,pz,FF115           ,"CRUZ DE FIERRO FUNDIDO 18"" X 6""         ",0
,pz,FF116           ,"CRUZ DE FIERRO FUNDIDO 18"" X 8""         ",0
,pz,FF117           ,"CRUZ DE FIERRO FUNDIDO 18"" X 10""        ",0
,pz,FF118           ,"CRUZ DE FIERRO FUNDIDO 18"" X 12""        ",0
,pz,FF119           ,"CRUZ DE FIERRO FUNDIDO 18"" X 14""        ",0
,pz,FF12            ,"REDUCCION DE FIERRO FUNDIDO 14 ""X 6""    ",0
,pz,FF120           ,"CRUZ DE FIERRO FUNDIDO 18"" X 16""        ",0
,pz,FF121           ,"CRUZ DE FIERRO FUNDIDO 18"" X 18""        ",0
,pz,FF122           ,"CRUZ DE FIERRO FUNDIDO 20"" X 4""         ",0
,pz,FF123           ,"CRUZ DE FIERRO FUNDIDO 20"" X 6""         ",0
,pz,FF124           ,"CRUZ DE FIERRO FUNDIDO 20"" X 8""         ",0
,pz,FF125           ,"CRUZ DE FIERRO FUNDIDO 20"" X 10""        ",0
,pz,FF126           ,"CRUZ DE FIERRO FUNDIDO 20"" X 12""        ",0
,pz,FF127           ,"CRUZ DE FIERRO FUNDIDO 20"" X 14""        ",0
,pz,FF128           ,"CRUZ DE FIERRO FUNDIDO 20"" X 16""        ",0
,pz,FF129           ,"CRUZ DE FIERRO FUNDIDO 20"" X 18""        ",0
,pz,FF13            ,"REDUCCION DE FIERRO FUNDIDO 14 ""X 8""    ",0
,pz,FF130           ,"CRUZ DE FIERRO FUNDIDO 20"" X 20""        ",0
,pz,FF131           ,"CRUZ DE FIERRO FUNDIDO 24"" X 4""         ",0
,pz,FF132           ,"CRUZ DE FIERRO FUNDIDO 24"" X 6""         ",0
,pz,FF133           ,"CRUZ DE FIERRO FUNDIDO 24"" X 8""         ",0
,pz,FF134           ,"CRUZ DE FIERRO FUNDIDO 24"" X 10""        ",0
,pz,FF135           ,"CRUZ DE FIERRO FUNDIDO 24"" X 12""        ",0
,pz,FF136           ,"CRUZ DE FIERRO FUNDIDO 24"" X 14""        ",0
,pz,FF137           ,"CRUZ DE FIERRO FUNDIDO 24"" X 16""        ",0
,pz,FF138           ,"CRUZ DE FIERRO FUNDIDO 24"" X 18""        ",0
,pz,FF139           ,"CRUZ DE FIERRO FUNDIDO 24"" X 20""        ",0
,pz,FF14            ,"REDUCCION DE FIERRO FUNDIDO 14 ""X 10""   ",0
,pz,FF140           ,"CRUZ DE FIERRO FUNDIDO 24"" X 24""        ",0
,pz,FF141           ,"CRUZ DE FIERRO FUNDIDO 30"" X 4""         ",0
,pz,FF142           ,"CRUZ DE FIERRO FUNDIDO 30"" X 6""         ",0
,pz,FF143           ,"CRUZ DE FIERRO FUNDIDO 30"" X 8""         ",0
,pz,FF144           ,"CRUZ DE FIERRO FUNDIDO 30"" X 10""        ",0
,pz,FF145           ,"CRUZ DE FIERRO FUNDIDO 30"" X 12""        ",0
,pz,FF146           ,"CRUZ DE FIERRO FUNDIDO 30"" X 14""        ",0
,pz,FF147           ,"CRUZ DE FIERRO FUNDIDO 30"" X 16""        ",0
,pz,FF148           ,"CRUZ DE FIERRO FUNDIDO 30"" X 18""        ",0
,pz,FF149           ,"CRUZ DE FIERRO FUNDIDO 30"" X 20""        ",0
,pz,FF15            ,"REDUCCION DE FIERRO FUNDIDO 14 ""X 12""   ",0
,pz,FF150           ,"CRUZ DE FIERRO FUNDIDO 30"" X 24""        ",0
,pz,FF151           ,"CRUZ DE FIERRO FUNDIDO 30"" X 30""        ",0
,pz,FF152           ,"CRUZ DE FIERRO FUNDIDO 36"" X 6""         ",0
,pz,FF153           ,"CRUZ DE FIERRO FUNDIDO 36"" X 8""         ",0
,pz,FF154           ,"CRUZ DE FIERRO FUNDIDO 36"" X 10""        ",0
,pz,FF155           ,"CRUZ DE FIERRO FUNDIDO 36"" X 12""        ",0
,pz,FF156           ,"CRUZ DE FIERRO FUNDIDO 36"" X 14""        ",0
,pz,FF157           ,"CRUZ DE FIERRO FUNDIDO 36"" X 16""        ",0
,pz,FF158           ,"CRUZ DE FIERRO FUNDIDO 36"" X 18""        ",0
,pz,FF159           ,"CRUZ DE FIERRO FUNDIDO 36"" X 20""        ",0
,pz,FF16            ,"REDUCCION DE FIERRO FUNDIDO 16 ""X 4""    ",0
,pz,FF160           ,"CRUZ DE FIERRO FUNDIDO 36"" X 24""        ",0
,pz,FF161           ,"CRUZ DE FIERRO FUNDIDO 36"" X 30""        ",0
,pz,FF162           ,"CRUZ DE FIERRO FUNDIDO 36"" X 36""        ",0
,pz,FF163           ,"CODO DE FIERRO FUNDIDO 2"" X 22í         ",0
,pz,FF164           ,"CODO DE FIERRO FUNDIDO 21/2"" X 22í      ",0
,pz,FF165           ,"CODO DE FIERRO FUNDIDO 3"" X 22í         ",0
,pz,FF166           ,"CODO DE FIERRO FUNDIDO 4"" X 22í         ",0
,pz,FF167           ,"CODO DE FIERRO FUNDIDO 6"" X 22í         ",0
,pz,FF168           ,"CODO DE FIERRO FUNDIDO 8"" X 22í         ",0
,pz,FF169           ,"CODO DE FIERRO FUNDIDO 10"" X 22í        ",0
,pz,FF17            ,"REDUCCION DE FIERRO FUNDIDO 16 ""X 6""    ",0
,pz,FF170           ,"CODO DE FIERRO FUNDIDO 12"" X 22í        ",0
,pz,FF171           ,"CODO DE FIERRO FUNDIDO 14"" X 22í        ",0
,pz,FF172           ,"CODO DE FIERRO FUNDIDO 16"" X 22í        ",0
,pz,FF173           ,"CODO DE FIERRO FUNDIDO 18"" X 22í        ",0
,pz,FF174           ,"CODO DE FIERRO FUNDIDO 20"" X 22í        ",0
,pz,FF175           ,"CODO DE FIERRO FUNDIDO 24"" X 22í        ",0
,pz,FF176           ,"CODO DE FIERRO FUNDIDO 30"" X 22í        ",0
,pz,FF177           ,"CODO DE FIERRO FUNDIDO 36"" X 22í        ",0
,pz,FF178           ,"CODO DE FIERRO FUNDIDO 2"" X 45í         ",0
,pz,FF179           ,"CODO DE FIERRO FUNDIDO 21/2"" X 45í      ",0
,pz,FF18            ,"REDUCCION DE FIERRO FUNDIDO 16 ""X 8""    ",0
,pz,FF180           ,"CODO DE FIERRO FUNDIDO 3"" X 45í         ",0
,pz,FF181           ,CODO DE FIERRO FUNDIDO 4 X 45í          ,0
,pz,FF182           ,"CODO DE FIERRO FUNDIDO 6"" X 45í         ",0
,pz,FF183           ,"CODO DE FIERRO FUNDIDO 8"" X 45í         ",0
,pz,FF184           ,"CODO DE FIERRO FUNDIDO 10"" X 45í        ",0
,pz,FF185           ,"CODO DE FIERRO FUNDIDO 12"" X 45í        ",0
,pz,FF186           ,"CODO DE FIERRO FUNDIDO 14"" X 45í        ",0
,pz,FF187           ,"CODO DE FIERRO FUNDIDO 16"" X 45í        ",0
,pz,FF188           ,"CODO DE FIERRO FUNDIDO 18"" X 45í        ",0
,pz,FF189           ,"CODO DE FIERRO FUNDIDO 20"" X 45í        ",0
,pz,FF19            ,"REDUCCION DE FIERRO FUNDIDO 16 ""X 10""   ",0
,pz,FF190           ,"CODO DE FIERRO FUNDIDO 24"" X 45í        ",0
,pz,FF191           ,"CODO DE FIERRO FUNDIDO 30"" X 45í        ",0
,pz,FF192           ,"CODO DE FIERRO FUNDIDO 36"" X 45í        ",0
,pz,FF193           ,"CODO DE FIERRO FUNDIDO 2"" X 90í         ",0
,pz,FF194           ,"CODO DE FIERRO FUNDIDO 21/2"" X 90í      ",0
,pz,FF195           ,"CODO DE FIERRO FUNDIDO 3"" X 90í         ",0
,pz,FF196           ,"CODO DE FIERRO FUNDIDO 4"" X 90í         ",0
